ID	NAME	ROLE	SHIFT_SCHEDULE	PAY
1	Olivia Carter	Ride Operator	25	15
2	Ethan Morgan	Ticketing Agent	32	11
3	Sophia Bennett	Ride Operator	45	15
4	Liam Parker	Ride Operator	25	15
5	Ava Harrison	Security Officer	30	17
6	Noah Collins	Entertainer	40	25
7	Isabella Gray	Park Manager	60	40
8	James Mitchell	Maintenance Technician	50	24
9	Mia Brooks	Nurse	32	22
10	Alexander Reed	Ticketing Agent	15	11
11	Emily Hayes	Nurse	25	22
12	Lucas Turner	Ticketing Agent	40	11
13	Grace Sullivan	Nurse	40	22
14	Benjamin Ward	Security Officer	30	17
15	Harper Evans	Maintenance Technician	25	17
16	Henry Foster	Ride Operator	20	18
17	Charlotte Price	Ride Operator	15	18
18	Daniel Scott	Custodian	30	30
19	Amelia Cooper	Photographer	15	23
20	William Howard	Ride Operator	20	15
